Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
flight edit,Chrome 66.0.3359.139,,2018-05-11 12:02:06,2018-05-11 12:02:35,28.959s,PASSED
,,,,,,
Test Cases/Edit Flights/Flights Edit,Chrome 66.0.3359.139,,2018-05-11 12:02:07,2018-05-11 12:02:34,27.405s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-11 12:02:07,2018-05-11 12:02:19,11.342s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:02:19,2018-05-11 12:02:24,5.613s,PASSED
mouseOver,Chrome 66.0.3359.139,,2018-05-11 12:02:24,2018-05-11 12:02:24,0.173s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:02:24,2018-05-11 12:02:27,2.307s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:02:27,2018-05-11 12:02:27,0.163s,PASSED
clearText,Chrome 66.0.3359.139,,2018-05-11 12:02:27,2018-05-11 12:02:28,0.620s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 12:02:28,2018-05-11 12:02:28,0.172s,PASSED
clearText,Chrome 66.0.3359.139,,2018-05-11 12:02:28,2018-05-11 12:02:28,0.075s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-11 12:02:28,2018-05-11 12:02:28,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:02:28,2018-05-11 12:02:28,0.003s,NOT_RUN
delay,Chrome 66.0.3359.139,,2018-05-11 12:02:28,2018-05-11 12:02:33,5.013s,PASSED
click,Chrome 66.0.3359.139,,2018-05-11 12:02:33,2018-05-11 12:02:33,0.146s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-11 12:02:33,2018-05-11 12:02:33,0.002s,NOT_RUN
getText,Chrome 66.0.3359.139,,2018-05-11 12:02:33,2018-05-11 12:02:34,1.106s,PASSED
verifyNotEqual,Chrome 66.0.3359.139,,2018-05-11 12:02:34,2018-05-11 12:02:34,0.013s,PASSED
